epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.613,1.93751,1.8565,1.68876,0.72794,0.64303,0.69592,0.29121,1.87793,1.83036,1.80489,0.000657658,0.000657658,0.000657658
2,987.605,1.82491,1.33687,1.63338,0.83677,0.84518,0.84496,0.37401,1.93215,1.12782,1.85242,0.00131121,0.00131121,0.00131121
3,1466.05,1.81888,1.24952,1.6194,0.84749,0.82718,0.86585,0.4098,1.83226,1.08333,1.73176,0.00195157,0.00195157,0.00195157
4,2085.69,1.81191,1.20666,1.61255,0.86822,0.89649,0.90856,0.448,1.72188,0.94725,1.6413,0.0019406,0.0019406,0.0019406
5,2568.98,1.79361,1.17014,1.62459,0.88464,0.88299,0.92224,0.46597,1.75087,0.88966,1.68612,0.0019208,0.0019208,0.0019208
6,3044.13,1.76062,1.08495,1.6,0.89691,0.91809,0.93885,0.46639,1.76198,0.80327,1.69222,0.001901,0.001901,0.001901
7,3524.92,1.75562,1.06059,1.60629,0.87092,0.89879,0.92955,0.46136,1.72574,0.91955,1.63967,0.0018812,0.0018812,0.0018812
8,4014.41,1.75899,1.04586,1.60878,0.8931,0.90189,0.93053,0.44928,1.8298,0.81722,1.71987,0.0018614,0.0018614,0.0018614
